,true superclass,mex-220-c,mex-990-c,mex-910-c,mex-890-c,mex-880-c,mex-110-c,mex-270-c,mex-550-c,mex-810-c,mex-120-c,mex-420-c,mex-250-c,mex-440-c,mex-750-c,mex-350-c,mex-470-c,mex-840-c,mex-770-c,mex-190-c,mex-450-c,mex-720-c,mex-230-c,mex-140-c,mex-820-c,mex-980-c,mex-330-no-c,mex-110-no-c,mex-120-no-c,mex-650-no-c,mex-880-no-c,mex-550-no-c,mex-440-no-c,mex-190-no-c,mex-180-no-c,mex-320-no-c,mex-380-no-c,mex-560-no-c,mex-920-no-c,mex-220-no-c,mex-660-no-c,mex-10-no-c,mex-540-no-c,mex-820-no-c,mex-830-no-c,mex-990-no-c,mex-210-no-c,mex-450-no-c,mex-310-no-c,mex-750-no-c,mex-980-no-c,mex-630-no-c,mex-910-no-c,mex-770-no-c,mex-930-no-c,mex-350-no-c,mex-360-no-c,mex-860-no-c,mex-20-no-c,mex-740-no-c,mex-390-no-c,mex-230-no-c,mex-260-no-c,mex-130-no-c,mex-470-no-c,mex-280-no-c,mex-730-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-2-c,pps-symbol-3-c,pps-symbol-4-c,pps-symbol-5-c,pps-symbol-6-c,pps-symbol-7-c,pps-symbol-8-c,pps-symbol-9-c,pps-symbol-0-no-c,pps-symbol-1-no-c,pps-symbol-2-no-c,pps-symbol-3-no-c,pps-symbol-4-no-c,pps-symbol-5-no-c,pps-symbol-6-no-c,pps-symbol-7-no-c,pps-symbol-8-no-c,pps-symbol-9-no-c
tv,electronic,6,2,2,1,0,8,0,2,1,3,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,5,13,5,0,0,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,15,0,0,6,0,2,2,12,32,31,10,10,4,4,1,1,1,2
book,indoor,21,4,3,3,2,17,4,12,1,11,1,0,0,6,0,0,1,2,1,0,0,0,0,0,0,8,8,4,2,0,15,19,2,4,1,0,0,5,6,1,1,2,0,1,2,0,1,0,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,89,50,58,0,2,30,0,14,9,15,89,27,22,24,41,36,7,0,6,14
teddy bear,indoor,4,1,3,2,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,6,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,9,0,2,3,0,0,11,7,19,16,6,6,2,5,1,0,1,0
person,person,160,158,96,39,26,136,12,121,22,90,14,0,10,22,9,1,8,12,15,1,0,0,0,1,0,88,223,103,21,4,63,149,23,31,18,5,4,18,46,45,15,5,4,0,11,4,7,0,5,9,11,7,1,11,3,10,0,0,1,1,0,2,0,1,1,3,953,495,437,9,44,274,0,59,122,466,953,629,242,238,312,171,138,12,58,91
boat,vehicle,11,1,4,0,1,7,3,9,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,3,5,5,0,2,10,1,0,1,0,1,0,6,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,22,29,0,0,20,0,7,2,6,43,12,19,7,20,11,13,1,0,3
mouse,electronic,7,0,0,0,0,4,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,2,1,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,16,0,0,5,0,5,0,0,18,4,8,6,8,7,1,2,0,0
car,vehicle,27,5,6,0,0,38,2,56,2,28,1,0,1,11,1,0,2,1,3,0,0,0,0,0,0,22,9,21,3,0,18,64,1,1,1,0,1,3,18,8,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,184,115,85,1,5,124,0,15,4,19,184,47,63,50,129,41,25,0,3,4
chair,furniture,25,8,15,3,2,32,0,13,4,14,2,1,0,5,0,1,0,6,3,0,0,0,0,0,0,13,18,18,4,2,14,18,4,2,4,3,1,2,8,4,5,0,3,0,0,0,1,1,1,1,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,134,100,67,0,3,32,0,18,11,37,134,68,43,38,37,35,16,1,14,11
traffic light,outdoor,20,1,0,0,0,2,2,18,0,7,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,8,1,0,2,0,7,26,0,0,0,0,1,2,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,59,11,49,0,1,43,0,12,0,2,59,2,15,17,54,19,9,0,0,2
baseball bat,sports,4,1,3,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,9,0,1,0,0,0,2,6,14,8,6,7,0,2,1,0,1,3
dining table,furniture,7,3,6,3,1,15,1,3,1,4,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,5,12,10,0,0,6,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,41,19,0,4,7,0,5,7,15,49,41,13,14,5,15,2,1,4,2
cup,kitchen,30,2,0,1,0,11,2,10,2,11,1,0,0,6,0,0,1,4,1,0,0,0,0,0,0,20,5,7,1,0,8,14,1,2,2,1,1,1,4,1,1,0,1,0,0,2,1,0,2,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,82,36,74,0,2,26,0,16,4,6,82,23,22,48,29,23,4,4,4,5
bottle,kitchen,27,5,7,0,0,18,0,8,1,12,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,11,11,9,3,0,9,13,3,1,2,0,2,1,7,6,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,56,67,0,1,18,0,8,1,17,84,37,27,25,26,24,18,1,2,7
