,mex-220-c,mex-990-c,mex-910-c,mex-890-c,mex-880-c,mex-110-c,mex-270-c,mex-550-c,mex-810-c,mex-120-c,mex-420-c,mex-250-c,mex-440-c,mex-750-c,mex-350-c,mex-470-c,mex-840-c,mex-770-c,mex-190-c,mex-450-c,mex-720-c,mex-230-c,mex-140-c,mex-820-c,mex-980-c,mex-330-no-c,mex-110-no-c,mex-120-no-c,mex-650-no-c,mex-880-no-c,mex-550-no-c,mex-440-no-c,mex-190-no-c,mex-180-no-c,mex-320-no-c,mex-380-no-c,mex-560-no-c,mex-920-no-c,mex-220-no-c,mex-660-no-c,mex-10-no-c,mex-540-no-c,mex-820-no-c,mex-830-no-c,mex-990-no-c,mex-210-no-c,mex-450-no-c,mex-310-no-c,mex-750-no-c,mex-980-no-c,mex-630-no-c,mex-910-no-c,mex-770-no-c,mex-930-no-c,mex-350-no-c,mex-360-no-c,mex-860-no-c,mex-20-no-c,mex-740-no-c,mex-390-no-c,mex-230-no-c,mex-260-no-c,mex-130-no-c,mex-470-no-c,mex-280-no-c,mex-730-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-2-c,pps-symbol-3-c,pps-symbol-4-c,pps-symbol-5-c,pps-symbol-6-c,pps-symbol-7-c,pps-symbol-8-c,pps-symbol-9-c,pps-symbol-0-no-c,pps-symbol-1-no-c,pps-symbol-2-no-c,pps-symbol-3-no-c,pps-symbol-4-no-c,pps-symbol-5-no-c,pps-symbol-6-no-c,pps-symbol-7-no-c,pps-symbol-8-no-c,pps-symbol-9-no-c
electronic,46,7,9,3,1,29,2,21,1,17,3,0,2,11,0,0,0,3,7,0,0,0,0,0,0,24,33,14,5,0,16,25,2,2,1,1,5,1,8,8,2,1,1,0,0,1,2,0,4,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,162,92,114,0,7,53,0,19,6,33,162,87,35,54,53,49,29,4,6,5
indoor,39,7,7,5,5,21,4,17,5,13,2,0,0,9,0,0,1,3,1,1,0,0,0,1,0,20,15,11,3,0,20,25,3,6,1,0,2,5,7,3,3,2,0,1,2,0,1,0,1,2,2,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,141,68,98,0,4,44,0,19,22,27,141,53,31,50,53,50,14,1,9,18
person,160,158,96,39,26,136,12,121,22,90,14,0,10,22,9,1,8,12,15,1,0,0,0,1,0,88,223,103,21,4,63,149,23,31,18,5,4,18,46,45,15,5,4,0,11,4,7,0,5,9,11,7,1,11,3,10,0,0,1,1,0,2,0,1,1,3,953,495,437,9,44,274,0,59,122,466,953,629,242,238,312,171,138,12,58,91
vehicle,64,21,21,2,3,87,7,79,2,46,3,0,2,14,1,0,3,5,10,0,0,0,0,0,0,43,38,45,11,0,31,87,5,4,4,2,4,4,35,17,15,0,1,0,1,0,3,0,2,1,8,0,0,1,3,2,1,0,0,0,2,0,0,0,0,0,370,253,184,1,10,173,0,31,13,75,370,145,126,108,177,85,60,2,9,13
furniture,45,27,33,14,8,67,3,25,10,28,2,1,2,7,1,2,1,8,8,0,0,0,0,0,0,25,64,35,6,3,27,31,17,13,7,7,2,3,9,5,8,0,6,0,1,0,2,3,2,2,2,5,0,4,1,0,1,0,0,0,0,1,0,0,0,0,292,213,124,1,9,59,0,28,41,109,292,209,70,74,64,67,22,2,35,33
outdoor,30,6,2,1,0,11,3,27,2,8,2,0,0,8,1,0,0,3,1,1,0,0,0,0,0,11,8,3,5,0,11,36,1,0,0,0,2,6,9,4,1,2,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,106,35,73,1,3,64,0,17,3,16,106,21,29,26,74,32,18,1,1,9
sports,40,25,18,7,6,21,0,48,2,20,6,0,2,18,0,0,1,7,3,0,1,0,0,0,0,24,34,13,3,0,18,50,9,7,6,0,2,2,8,14,3,0,1,0,6,1,1,0,2,3,10,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,225,85,107,0,11,114,0,33,22,78,225,101,39,70,101,44,45,4,12,31
kitchen,95,13,14,1,0,61,6,31,6,50,8,0,0,13,0,1,1,11,1,0,0,0,0,0,0,50,33,32,6,1,29,51,4,11,14,7,6,8,14,9,3,2,3,0,1,3,2,0,4,1,0,2,2,5,4,4,0,1,0,0,0,0,0,0,0,0,312,193,254,0,10,75,0,42,8,42,312,121,89,134,106,82,34,8,24,22
accessory,34,16,8,5,4,33,0,20,5,13,2,0,3,5,1,0,1,1,4,1,0,0,0,0,0,19,23,16,3,0,13,20,6,6,2,2,2,3,8,9,3,0,1,0,2,1,2,0,1,3,7,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,156,96,83,1,10,47,0,7,19,49,156,78,39,53,42,34,31,1,12,19
food,34,10,13,6,9,24,3,42,19,24,12,0,12,12,2,6,4,11,0,1,0,1,1,2,0,38,34,25,1,1,37,40,1,16,12,8,1,2,1,1,5,0,1,0,2,1,4,3,2,0,1,0,1,2,5,0,0,0,0,1,0,0,2,0,0,0,248,105,110,3,48,99,0,43,49,39,248,121,43,110,84,87,5,4,27,10
