,true superclass,mex-1110-c,mex-0-c,mex-111110-c,mex-10-c,mex-110-c,mex-1111110-c,mex-11110-c,mex-1110-no-c,mex-0-no-c,mex-11110-no-c,mex-110-no-c,mex-1111110-no-c,mex-10-no-c,mex-111110-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-0-no-c,pps-symbol-1-no-c
tv,electronic,5,5,0,9,6,4,3,6,4,3,6,0,12,1,32,72,32,59
book,indoor,16,6,10,14,13,22,8,11,10,16,23,13,7,9,89,302,89,273
teddy bear,indoor,3,4,0,8,0,1,3,5,7,1,0,0,5,1,19,35,19,29
person,person,117,200,45,190,136,176,89,125,227,107,185,100,160,49,953,2450,953,2178
boat,vehicle,4,5,8,5,4,11,6,6,4,10,9,8,3,3,43,155,43,142
mouse,electronic,2,0,1,0,4,8,3,4,0,6,3,2,1,2,18,79,18,65
car,vehicle,20,12,9,26,34,69,14,29,6,26,37,41,24,21,184,669,184,640
chair,furniture,19,16,9,34,18,21,17,20,18,17,34,9,27,9,134,366,134,322
traffic light,outdoor,9,1,4,0,5,34,6,8,1,13,9,15,0,13,59,285,59,249
baseball bat,sports,2,1,2,4,3,0,2,1,4,1,6,0,2,0,14,34,14,21
dining table,furniture,3,10,3,14,8,4,7,6,16,6,10,1,9,1,49,106,49,82
cup,kitchen,19,4,6,7,10,19,17,19,7,17,22,7,7,3,82,296,82,233
bottle,kitchen,9,9,5,14,14,17,16,16,11,14,16,4,14,9,84,260,84,219
backpack,accessory,7,2,2,7,6,5,6,8,1,6,11,2,6,1,35,104,35,93
broccoli,food,6,7,1,2,2,4,4,7,9,3,5,1,1,0,26,69,26,50
keyboard,electronic,7,0,1,2,2,2,3,3,0,5,6,0,3,0,17,56,17,44
carrot,food,3,5,0,4,6,11,4,4,5,7,6,2,6,3,33,107,33,85
remote,electronic,1,3,2,3,2,19,6,9,5,8,1,8,2,3,36,158,36,126
surfboard,sports,3,3,1,3,3,5,7,8,4,1,4,3,4,1,25,81,25,63
bowl,kitchen,10,7,3,9,12,7,7,9,9,3,17,2,12,3,55,148,55,112
sheep,animal,5,6,0,9,9,3,3,4,11,1,6,0,11,2,35,72,35,49
tie,accessory,7,1,0,2,5,5,1,6,1,1,7,3,1,2,21,67,21,65
frisbee,sports,5,1,1,2,2,4,0,4,0,1,4,0,4,2,15,50,15,38
truck,vehicle,6,13,0,11,11,5,4,9,11,4,8,4,14,0,50,97,50,97
elephant,animal,8,9,0,13,2,2,1,3,14,1,5,0,11,1,35,57,35,39
motorcycle,vehicle,6,0,4,9,8,7,4,7,5,6,10,3,4,3,38,121,38,102
oven,appliance,1,4,1,8,5,3,1,1,5,2,7,2,6,0,23,48,23,43
knife,kitchen,4,5,5,1,3,7,4,4,4,8,4,3,4,2,29,102,29,84
fork,kitchen,1,2,2,5,4,3,2,4,3,1,6,0,3,2,19,52,19,41
banana,food,5,2,5,4,5,5,8,9,2,7,6,2,6,2,34,116,34,95
spoon,kitchen,2,0,2,3,5,9,3,3,0,4,5,3,6,3,24,95,24,74
sandwich,food,2,7,0,2,8,2,4,4,3,1,10,0,6,1,25,52,25,47
couch,furniture,2,7,3,12,5,4,1,1,13,2,4,2,10,2,34,71,34,51
handbag,accessory,4,9,2,7,7,12,4,5,8,6,8,8,8,2,45,131,45,121
zebra,animal,6,2,2,15,5,4,2,2,12,2,10,1,8,1,36,85,36,53
pizza,food,7,8,0,5,1,3,3,4,10,2,6,0,3,2,27,58,27,45
horse,animal,3,9,1,5,7,4,4,5,12,2,6,2,5,1,33,73,33,57
bicycle,vehicle,1,1,3,5,3,4,8,7,4,6,3,1,2,2,25,85,25,69
vase,indoor,2,2,4,2,1,4,9,8,1,4,6,0,3,2,24,90,24,65
bus,vehicle,3,13,0,5,4,2,3,4,12,1,9,1,2,1,30,46,30,47
skateboard,sports,5,4,0,5,2,4,3,4,4,1,7,2,5,0,23,60,23,47
bird,animal,6,0,4,3,8,9,2,6,2,4,4,4,8,4,32,119,32,94
cow,animal,6,4,2,6,6,7,6,5,8,3,7,3,9,2,37,112,37,78
dog,animal,5,5,2,8,8,2,2,4,9,3,4,0,10,2,32,69,32,52
sink,appliance,5,4,3,1,4,11,1,4,3,9,5,3,4,1,29,109,29,85
bench,outdoor,5,7,1,4,8,10,6,4,6,8,10,5,5,3,41,124,41,114
kite,sports,3,3,1,7,2,11,1,2,5,3,5,6,4,3,28,95,28,83
wine glass,kitchen,6,1,1,2,4,4,1,4,2,3,5,1,2,2,19,61,19,52
hot dog,food,1,3,1,3,2,1,1,3,4,1,2,0,2,0,12,25,12,19
tennis racket,sports,4,1,2,6,5,8,2,4,7,4,4,4,4,1,28,94,28,69
suitcase,accessory,3,4,0,5,5,4,3,4,3,2,5,1,7,2,24,60,24,53
orange,food,5,0,2,4,1,8,4,4,2,5,5,4,2,2,24,95,24,78
apple,food,3,0,1,1,2,5,2,3,1,1,5,4,0,0,14,57,14,47
skis,sports,2,4,1,3,3,9,4,3,2,4,4,6,5,2,26,90,26,84
parking meter,outdoor,2,0,0,0,1,2,1,2,0,1,2,1,0,0,6,24,6,20
laptop,electronic,1,1,1,7,3,2,4,2,2,4,3,1,7,0,19,49,19,41
sports ball,sports,4,2,2,5,2,21,5,7,5,3,5,14,3,4,41,177,41,150
donut,food,4,2,2,2,8,7,4,3,4,5,10,1,3,3,29,98,29,73
cell phone,electronic,8,5,9,1,2,7,8,14,5,8,7,3,2,1,40,148,40,113
potted plant,furniture,5,9,4,8,10,6,1,5,11,5,10,1,8,3,43,103,43,84
bed,furniture,4,10,0,6,8,3,1,3,12,0,5,1,10,1,32,56,32,40
baseball glove,sports,3,2,2,1,4,7,1,3,2,4,4,3,2,2,20,74,20,63
cake,food,3,3,1,7,1,4,5,5,7,4,4,1,3,0,24,67,24,48
umbrella,accessory,3,6,1,9,5,4,3,4,5,5,7,0,9,1,31,69,31,60
refrigerator,appliance,1,3,0,2,4,2,1,1,1,2,7,0,2,0,13,29,13,27
microwave,appliance,1,0,0,3,2,0,0,1,1,0,2,0,2,0,6,10,6,9
toaster,appliance,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,1,3
hair drier,indoor,1,0,0,0,1,1,1,0,0,1,2,1,0,0,4,15,4,14
toothbrush,indoor,1,1,0,0,1,1,1,1,1,0,1,0,1,1,5,15,5,11
snowboard,sports,0,1,0,0,1,2,1,1,0,1,1,1,1,0,5,18,5,16
SUM COL,SUM COL,445,486,190,589,501,693,373,505,593,426,682,324,542,205,3277,9526,3277,8094
MEAN COL,MEAN COL,12.535211267605634,13.690140845070422,5.352112676056338,16.591549295774648,14.112676056338028,19.52112676056338,10.507042253521126,14.225352112676056,16.704225352112676,12.0,19.211267605633804,9.126760563380282,15.267605633802816,5.774647887323944,92.30985915492958,268.3380281690141,92.30985915492958,228.0
STD COL,STD COL,53.508675349249884,61.09599732153127,22.768336421968204,71.99639612748797,60.396471610347966,83.45224815829754,44.615374486240846,60.5091535813346,73.79327698798362,51.14354281657642,82.18870685813772,39.71373962318536,65.71491089536165,24.648056337448697,396.69449669186736,1144.5939675385719,396.69449669186736,976.0154841764103
