,mex-1110-c,mex-0-c,mex-111110-c,mex-10-c,mex-110-c,mex-1111110-c,mex-11110-c,mex-1110-no-c,mex-0-no-c,mex-11110-no-c,mex-110-no-c,mex-1111110-no-c,mex-10-no-c,mex-111110-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-0-no-c,pps-symbol-1-no-c
electronic,24,14,14,22,19,42,27,38,16,34,26,14,27,7,162,562,162,448
indoor,23,13,14,24,16,29,22,25,19,22,32,14,16,13,141,457,141,392
person,117,200,45,190,136,176,89,125,227,107,185,100,160,49,953,2450,953,2178
vehicle,40,44,24,61,64,98,39,62,42,53,76,58,49,30,370,1173,370,1097
furniture,33,52,19,74,49,38,27,35,70,30,63,14,64,16,292,702,292,579
outdoor,16,8,5,4,14,46,13,14,7,22,21,21,5,16,106,433,106,383
sports,31,22,12,36,27,71,26,37,33,23,44,39,34,15,225,773,225,634
kitchen,51,28,24,41,52,66,50,59,36,50,75,20,48,24,312,1014,312,815
accessory,24,22,5,30,28,30,17,27,18,20,38,14,31,8,156,431,156,392
food,39,37,13,34,36,50,39,46,47,36,59,15,32,13,248,744,248,587
animal,39,35,11,59,45,31,20,29,68,16,42,10,62,13,240,587,240,422
appliance,8,11,4,14,15,16,4,8,10,13,21,5,14,1,72,200,72,167
